Temperature	Date	Time
18	24/02/2022	02:37:00.264267
18	24/02/2022	02:47:00.621546
18	24/02/2022	02:57:00.978866
18	24/02/2022	03:07:01.336174
18	24/02/2022	03:17:01.694477
18	24/02/2022	03:27:08.827326
18	24/02/2022	03:37:09.184780
18	24/02/2022	03:47:09.542151
18	24/02/2022	03:57:09.806607
18	24/02/2022	04:07:10.073912
17	24/02/2022	04:17:10.431011
17	24/02/2022	04:27:10.788390
17	24/02/2022	04:37:11.144160
17	24/02/2022	04:47:11.420723
17	24/02/2022	04:57:11.685188
17	24/02/2022	05:07:12.042514
16	24/02/2022	05:17:12.363704
16	24/02/2022	05:27:12.623665
16	24/02/2022	05:37:12.981015
16	24/02/2022	05:47:13.258370
16	24/02/2022	05:57:13.615632
17	24/02/2022	06:07:13.973075
17	24/02/2022	06:17:14.330762
17	24/02/2022	06:27:16.922518
17	24/02/2022	06:37:17.231262
17	24/02/2022	06:47:17.588689
17	24/02/2022	06:57:17.945952
17	24/02/2022	07:07:18.303392
17	24/02/2022	07:17:18.659809
17	24/02/2022	07:27:19.017232
18	24/02/2022	07:37:21.632883
18	24/02/2022	07:47:21.990371
18	24/02/2022	07:57:22.347722
18	24/02/2022	08:07:22.704927
18	24/02/2022	08:17:23.062360
18	24/02/2022	08:27:23.420050
18	24/02/2022	08:37:26.036112
18	24/02/2022	08:47:26.393669
19	24/02/2022	08:57:26.750973
19	24/02/2022	09:07:27.008277
19	24/02/2022	09:17:27.365585
19	24/02/2022	09:27:27.723082
20	24/02/2022	09:37:30.338810
20	24/02/2022	09:47:30.694551
20	24/02/2022	09:57:31.052777
20	24/02/2022	10:07:35.926833
20	24/02/2022	10:17:36.284408
20	24/02/2022	10:27:36.642240
21	24/02/2022	10:37:36.999756
20	24/02/2022	10:47:37.258906
21	24/02/2022	10:57:37.616115
21	24/02/2022	11:07:37.880076
21	24/02/2022	11:17:38.237523
21	24/02/2022	11:27:38.495796
21	24/02/2022	11:37:38.853204
21	24/02/2022	11:47:39.210645
21	24/02/2022	11:57:39.568002
21	24/02/2022	12:07:39.828561
21	24/02/2022	12:17:40.185571
21	24/02/2022	12:27:40.445574
21	24/02/2022	12:37:40.803091
21	24/02/2022	12:47:41.160481
21	24/02/2022	12:57:41.517838
21	24/02/2022	13:07:41.784744
21	24/02/2022	13:17:42.142072
21	24/02/2022	13:27:42.499369
21	24/02/2022	13:37:42.856940
21	24/02/2022	13:47:43.214197
21	24/02/2022	13:57:43.563901
21	24/02/2022	14:07:43.921437
22	24/02/2022	14:17:44.278794
22	24/02/2022	14:27:44.636237
22	24/02/2022	14:37:44.924228
22	24/02/2022	14:47:45.281703
22	24/02/2022	14:57:45.638858
22	24/02/2022	15:07:45.996057
21	24/02/2022	15:17:46.283894
21	24/02/2022	15:27:46.641399
21	24/02/2022	15:37:46.998870
21	24/02/2022	15:47:47.356295
21	24/02/2022	15:57:47.713603
21	24/02/2022	16:07:47.973306
21	24/02/2022	16:17:48.330641
21	24/02/2022	16:27:48.607174
21	24/02/2022	16:37:48.964482
22	24/02/2022	16:47:49.321984
21	24/02/2022	16:57:49.679520
22	24/02/2022	17:07:50.036793
22	24/02/2022	17:17:50.394110
22	24/02/2022	17:27:50.652004
22	24/02/2022	17:37:51.009110
22	24/02/2022	17:47:51.365917
22	24/02/2022	17:57:51.623183
22	24/02/2022	18:07:51.883324
22	24/02/2022	18:17:52.240263
22	24/02/2022	18:27:52.497462
22	24/02/2022	18:37:52.842989
22	24/02/2022	18:47:53.111459
22	24/02/2022	18:57:53.469122
22	24/02/2022	19:07:53.727470
22	24/02/2022	19:17:54.085170
22	24/02/2022	19:27:54.442899
22	24/02/2022	19:37:54.711666
22	24/02/2022	19:47:55.069338
22	24/02/2022	19:57:55.426675
22	24/02/2022	20:07:55.686735
22	24/02/2022	20:17:56.044047
22	24/02/2022	20:27:56.306371
22	24/02/2022	20:37:56.662371
22	24/02/2022	20:47:57.003274
22	24/02/2022	20:57:59.618922
22	24/02/2022	21:07:59.889122
22	24/02/2022	21:18:00.149948
22	24/02/2022	21:28:00.444037
22	24/02/2022	21:38:00.801463
21	24/02/2022	21:48:01.158838
21	24/02/2022	21:58:01.516322
21	24/02/2022	22:08:01.815065
21	24/02/2022	22:18:02.172348
21	24/02/2022	22:28:02.434071
21	24/02/2022	22:38:02.791574
21	24/02/2022	22:48:05.312075
21	24/02/2022	22:58:05.669273
21	24/02/2022	23:08:06.026561
21	24/02/2022	23:18:06.383739
21	24/02/2022	23:28:06.650087
21	24/02/2022	23:38:09.265216
21	24/02/2022	23:48:09.622190
20	24/02/2022	23:58:09.963903
20	25/02/2022	00:08:10.320930
20	25/02/2022	00:18:10.578604
20	25/02/2022	00:28:10.935786
20	25/02/2022	00:38:11.195595
20	25/02/2022	00:48:11.553023
20	25/02/2022	00:58:11.827570
20	25/02/2022	01:08:12.184981
19	25/02/2022	01:18:14.800561
19	25/02/2022	01:28:17.416279
19	25/02/2022	01:38:17.772768
19	25/02/2022	01:48:18.124080
19	25/02/2022	01:58:18.481528
19	25/02/2022	02:08:18.778416
19	25/02/2022	02:18:19.135720
19	25/02/2022	02:28:19.483578
19	25/02/2022	02:38:19.743406
19	25/02/2022	02:48:20.100744
19	25/02/2022	02:58:20.361490
19	25/02/2022	03:08:20.718657
19	25/02/2022	03:18:21.068785
19	25/02/2022	03:28:21.331571
19	25/02/2022	03:38:21.688547
19	25/02/2022	03:48:22.045709
19	25/02/2022	03:58:22.319491
19	25/02/2022	04:08:22.676864
19	25/02/2022	04:18:23.032729
19	25/02/2022	04:28:23.383834
18	25/02/2022	04:38:23.643861
18	25/02/2022	04:48:23.909727
17	25/02/2022	04:58:24.266970
17	25/02/2022	05:08:24.556148
17	25/02/2022	05:18:24.913327
17	25/02/2022	05:28:25.171210
17	25/02/2022	05:38:25.521016
17	25/02/2022	05:48:25.795556
17	25/02/2022	05:58:26.152669
17	25/02/2022	06:08:26.443813
17	25/02/2022	06:18:26.801112
17	25/02/2022	06:28:27.158442
17	25/02/2022	06:38:27.515752
17	25/02/2022	06:48:27.802964
17	25/02/2022	06:58:28.160245
18	25/02/2022	07:08:28.517229
18	25/02/2022	07:18:28.775560
18	25/02/2022	07:28:29.127277
18	25/02/2022	07:38:29.484568
18	25/02/2022	07:48:29.762082
18	25/02/2022	07:58:30.119432
18	25/02/2022	08:08:30.384443
18	25/02/2022	08:18:30.640739
18	25/02/2022	08:28:30.998312
18	25/02/2022	08:38:33.613756
18	25/02/2022	08:48:33.963595
18	25/02/2022	08:58:34.233941
18	25/02/2022	09:08:34.590940
18	25/02/2022	09:18:34.948258
18	25/02/2022	09:28:35.305379
18	25/02/2022	09:38:35.662712
18	25/02/2022	09:48:36.020056
18	25/02/2022	09:58:36.285152
18	25/02/2022	10:08:36.543354
18	25/02/2022	10:18:36.814370
18	25/02/2022	10:28:37.090318
18	25/02/2022	10:38:37.447690
18	25/02/2022	10:48:37.805042
18	25/02/2022	10:58:38.123895
18	25/02/2022	11:08:38.481155
18	25/02/2022	11:18:38.750375
